dgp,n,n_rep,V11_true,bias_sieve,rmse_sieve,mc_sd_sieve,mean_se,se_ratio,cov90,cov95,median_len95_sd,delta_root_err,kappa_root_err,fail_rate
dgp1,750,150,0.889,0.0075,0.0553,0.055,0.0204,0.3716,0.4667,0.58,0.156,0.0725,0.1366,0.0
dgp1,1500,150,0.889,0.0093,0.0398,0.0388,0.0143,0.3686,0.4267,0.5,0.1109,0.0503,0.1248,0.0
dgp2,750,150,0.5349,-0.0192,0.0603,0.0574,0.0696,1.2129,0.76,0.8333,0.285,0.3176,0.1169,0.0
dgp2,1500,150,0.5349,-0.0045,0.0394,0.0393,0.0366,0.9331,0.6933,0.76,0.1806,0.2043,0.0917,0.0
dgp3,750,150,0.7054,-0.1168,0.2028,0.1663,0.0219,0.1316,0.2667,0.3133,0.1425,0.0744,0.529,0.0
dgp3,1500,150,0.7054,-0.0439,0.1159,0.1076,0.0157,0.1456,0.3533,0.3867,0.1231,0.0511,0.4422,0.0
dgp4,750,150,0.7167,-0.0012,0.0588,0.059,0.022,0.373,0.5533,0.5933,0.1455,,0.1291,0.0
dgp4,1500,150,0.7167,0.002,0.0406,0.0407,0.0138,0.3402,0.44,0.5,0.1028,,0.0811,0.0
dgp5,750,150,1.2868,-0.0231,0.0554,0.0506,0.0314,0.62,0.6533,0.7267,0.2383,0.0724,,0.0
dgp5,1500,150,1.2868,-0.019,0.0427,0.0384,0.0223,0.5818,0.5933,0.6733,0.1742,0.0516,,0.0
dgp6,750,150,1.7206,-0.0514,0.126,0.1154,0.026,0.2249,0.2133,0.2733,0.2005,0.0491,0.1785,0.0
dgp6,1500,150,1.7206,-0.0526,0.0912,0.0748,0.0182,0.2431,0.2467,0.3067,0.1423,0.0319,0.1623,0.0
dgp7,750,150,1.2868,0.0097,0.0822,0.0819,0.027,0.3301,0.3933,0.4933,0.1994,0.1028,0.1087,0.0
dgp7,1500,150,1.2868,0.0107,0.0573,0.0565,0.0183,0.3239,0.34,0.4467,0.1389,0.0645,0.0957,0.0
