label,n,n_rep,theta_true,bias,plugin_bias,mc_sd,plugin_sd,rmse,mean_se,se_ratio,cov95,mean_corr,bias_over_se,secs,segments,delta,noise_scale,learner,K,riesz
tensor-sieve plug-in ns=0.17,4000,300,0.1611025,0.001874166666666649,0.001874166666666649,0.011148430257795579,0.011148430257795579,0.011286527643611207,0.011002515429641313,0.9869116256925736,0.96,0.0,0.17033983534506597,13.1,2.0,0.08,0.17,,,
gbr K=5 ns=0.17,4000,300,0.1611025,-0.00428162732882173,0.0019049999999999623,0.013200817376113576,0.013119026192677076,0.013856876994802623,0.011445094901484,0.8669989573671024,0.8833333333333333,-0.006186627328821715,0.3741015138517168,428.6,,,0.17,gbr,5.0,sieve
krr K=5 ns=0.17,4000,300,0.1611025,-1.0534045781218637e-06,0.00021083333333332677,0.010382287646771304,0.010133089553630485,0.010364969443628873,0.009575137929701908,0.922257045409409,0.9233333333333333,-0.00021188673791145923,0.00011001455914846107,36.2,,,0.17,krr,5.0,sieve
tensor-sieve plug-in ns=0.34,4000,300,0.1611025,0.003245833333333281,0.003245833333333281,0.01778316997435153,0.01778316997435153,0.018047781892797796,0.018383905688944678,1.0337811377532566,0.9433333333333334,0.0,0.17655841953569157,13.4,2.0,0.08,0.34,,,
gbr K=5 ns=0.34,4000,300,0.1611025,0.01053604908759831,0.01592166666666664,0.019112255979897866,0.01894291612211772,0.021796079110441374,0.01787828616741039,0.9354356799225924,0.9033333333333333,-0.005385617579068355,0.5893209779136465,425.9,,,0.34,gbr,5.0,sieve
krr K=5 ns=0.34,4000,300,0.1611025,0.0037188882931888934,0.003776666666666678,0.018415153772463496,0.01794047266668027,0.01875680211654292,0.016546206550539257,0.8985103657011592,0.9166666666666666,-5.7778373477772364e-05,0.2247577583314824,35.2,,,0.34,krr,5.0,sieve
tensor-sieve plug-in ns=0.68,4000,300,0.1611025,0.009895833333333298,0.009895833333333298,0.032837353779392744,0.032837353779392744,0.03424361275600653,0.03613095404292258,1.10030041658219,0.9533333333333334,0.0,0.27388796104241586,13.0,2.0,0.08,0.68,,,
gbr K=5 ns=0.68,4000,300,0.1611025,0.036403985527196536,0.044105833333333316,0.026363055855966103,0.025628184876990142,0.044921533521785614,0.02625626089244698,0.9959490673576464,0.7333333333333333,-0.00770184780613676,1.3864878048065368,410.2,,,0.68,gbr,5.0,sieve
krr K=5 ns=0.68,4000,300,0.1611025,0.014512267119656197,0.01458916666666668,0.0329021311570699,0.03200051495021842,0.035910271940588635,0.02985884960369809,0.9075050324599451,0.8966666666666666,-7.689954701046306e-05,0.48602901023550543,35.0,,,0.68,krr,5.0,sieve
tensor-sieve plug-in ns=1.0,4000,300,0.1611025,0.016302499999999998,0.016302499999999998,0.04496810157058975,0.04496810157058975,0.0477615036535702,0.049486336770763945,1.1004764498025692,0.9366666666666666,0.0,0.3294343664094239,13.1,2.0,0.08,1.0,,,
gbr K=5 ns=1.0,4000,300,0.1611025,0.052481236823507915,0.06132999999999997,0.029866721247199104,0.0287741941604268,0.0603599855295114,0.030423527192187064,1.0186430221241702,0.6266666666666667,-0.008848763176492068,1.7250214444887046,424.2,,,1.0,gbr,5.0,sieve
krr K=5 ns=1.0,4000,300,0.1611025,0.025710855227619817,0.02584499999999998,0.04069855627776974,0.03966188032928066,0.048082214154717334,0.03876341827633391,0.9524519251192004,0.8866666666666667,-0.00013414477238017097,0.6632762633143985,34.6,,,1.0,krr,5.0,sieve
