est,n,n_rep,theta_true,bias,mc_sd,rmse,mean_se,se_ratio,cov95,mean_len,dgp,quad_full_mean,quad_full_sd,corner_mean,corner_sd,corr_riesz_mean,corr_riesz_sd,quad_S_mean,quad_S_sd,quad_Y_mean,quad_Y_sd
cf_gbr,1000,500,0.16099533333333332,0.0666266666666667,0.03163524448122337,0.07374211705064557,0.04462244810120942,1.4105295796811184,0.68,0.17491678374047762,krr,,,,,,,,,,
cf_riesz_gbr,1000,500,0.16099533333333332,0.05621249676375906,0.054507620717463776,0.07826227282197952,0.04462244810120942,0.8186460446055164,0.704,0.17491678374047762,krr,,,,,,,,,,
dd_gbr,1000,500,0.16099533333333332,0.04878449676375904,0.06530449887604005,0.08146210985971965,0.04462244810120942,0.6832982240000193,0.706,0.1749167837404776,krr,0.022191999999999986,0.1403014044983457,-0.11978399999999999,0.05744082381443499,-0.010414169902907607,0.04930451030563829,,,,
plugin,1000,500,0.16099533333333332,0.010304666666666656,0.036185588202862946,0.03758941546647289,0.040220121979666394,1.1114955974788947,0.962,0.15765998231150974,krr,,,,,,,,,,
ss,1000,500,0.16099533333333332,0.002977666666666684,0.04464225164868511,0.04469688210354026,0.040220121979666394,0.9009429518963574,0.894,0.15765998231150974,krr,0.04796000000000001,0.12466792121938317,-0.070368,0.05465102052192782,,,0.030024000000000002,0.07380263601094698,0.08830400000000001,0.10459412721034479
ss_margins,1000,500,0.16099533333333332,-0.005818333333333314,0.045578481402234854,0.04590311725556096,0.040220121979666394,0.8824366398853797,0.882,0.15765998231150974,krr,,,,,,,,,,
cf_gbr,2000,500,0.16099533333333332,0.04440866666666668,0.023763547639037097,0.050355798664216536,0.025175332076494826,1.0594096663891441,0.578,0.09868548911595021,krr,,,,,,,,,,
cf_riesz_gbr,2000,500,0.16099533333333332,0.025954594408106296,0.02675454907900112,0.037256076759599105,0.025175332076494826,0.940973888296784,0.784,0.09868548911595022,krr,,,,,,,,,,
dd_gbr,2000,500,0.16099533333333332,0.006111094408106282,0.036135848412214684,0.03661329562132321,0.025175332076494826,0.6966857893942523,0.83,0.09868548911595021,krr,0.07108400000000001,0.09169637612681092,-0.075652,0.03333534740742246,-0.018454072258560387,0.02051045977347694,,,,
plugin,2000,500,0.16099533333333332,0.005246666666666705,0.02592382157495496,0.026424003237797093,0.027533231039395416,1.0620822612818517,0.958,0.1079282832817952,krr,,,,,,,,,,
ss,2000,500,0.16099533333333332,-0.0004828333333332935,0.02932009643332913,0.029294740940615564,0.027533231039395416,0.9390566331186235,0.932,0.1079282832817952,krr,0.037236,0.07268919963438154,-0.03625600000000002,0.029739255381082467,,,0.017776000000000004,0.042880430111802134,0.055716,0.06247102209186597
ss_margins,2000,500,0.16099533333333332,-0.0050148333333333295,0.029404301907907673,0.029799870773396166,0.027533231039395416,0.9363674446558082,0.918,0.1079282832817952,krr,,,,,,,,,,
cf_gbr,4000,500,0.16099533333333332,0.023899166666666666,0.018882109598128898,0.030446529557752747,0.01634275610426587,0.8655153715390645,0.666,0.06406242725028269,krr,,,,,,,,,,
cf_riesz_gbr,4000,500,0.16099533333333332,0.014517801969906069,0.019635148145839273,0.024403576349810815,0.01634275610426587,0.8323215074763229,0.808,0.06406242725028272,krr,,,,,,,,,,
