label,n,n_rep,theta_true,bias,plugin_bias,mc_sd,plugin_sd,rmse,mean_se,se_ratio,cov95,mean_corr,bias_over_se,secs,segments,delta,learner,K,riesz,n_features,capacity,correct
tensor-sieve plug-in,4000,300,0.16099533333333332,0.003352999999999967,0.003352999999999967,0.01778316997435153,0.01778316997435153,0.018067363012410593,0.018383905688944678,1.0337811377532566,0.9433333333333334,0.0,0.1823877937981548,14.1,2.0,0.08,,,,,,
gbr K=2 riesz=sieve,4000,300,0.16099533333333332,0.02159921896592884,0.03171050000000003,0.018618755049398333,0.018208333320577873,0.028496118555498117,0.01793125199550167,0.9630747033261561,0.76,-0.010111281034071174,1.2045572150426158,179.7,,,gbr,2.0,sieve,,,
gbr K=5 riesz=sieve,4000,300,0.16099533333333332,0.010643215754264995,0.016028833333333325,0.019112255979897866,0.01894291612211772,0.021848084030508766,0.01787828616741039,0.9354356799225924,0.9033333333333333,-0.005385617579068355,0.5953152139194463,430.3,,,gbr,5.0,sieve,,,
gbr K=10 riesz=sieve,4000,300,0.16099533333333332,0.007871190933138456,0.012718833333333346,0.019581327063551358,0.019514138369223468,0.021073820766782117,0.017971282822894164,0.9177765513322064,0.9133333333333333,-0.0048476424001949,0.4379871493153013,905.8,,,gbr,10.0,sieve,,,
rf K=5 riesz=sieve,4000,300,0.16099533333333332,0.011857445133172717,0.045310500000000004,0.019482065956975443,0.018590464190950305,0.022779041450237465,0.01968198322352351,1.0102616050571622,0.9066666666666666,-0.03345305486682728,0.6024517447510542,1046.5,,,rf,5.0,sieve,,,
krr K=5 riesz=sieve,4000,300,0.16099533333333332,0.0038260549598555793,0.003883833333333364,0.018415153772463496,0.01794047266668027,0.01877834369846731,0.016546206550539257,0.8985103657011592,0.9166666666666666,-5.7778373477772364e-05,0.23123457018194205,36.0,,,krr,5.0,sieve,,,
gbr K=5 riesz=rf,4000,300,0.16099533333333332,0.007772073235422061,0.016028833333333325,0.020347767633300363,0.01894291612211772,0.021749865851157648,0.01960128286327615,0.9633136772801285,0.9366666666666666,-0.008256760097911292,0.39650839639600205,516.8,,,gbr,5.0,rf,400.0,,
krr K=5 riesz=rf,4000,300,0.16099533333333332,0.0046748847388031756,0.003883833333333364,0.018116707921838154,0.01794047266668027,0.01868088870726455,0.017698339516643912,0.9769070403409257,0.9366666666666666,0.0007910514054698265,0.2641425617587915,41.7,,,krr,5.0,rf,400.0,,
gbr(high-cap) K=5 riesz=sieve,4000,300,0.16099533333333332,0.043947376559854257,0.04605550000000003,0.013090337691528647,0.012447587413374563,0.04584929287970488,0.01310463390303769,1.0010921193819389,0.07666666666666666,-0.00210812344014574,3.35357529901443,4112.7,,,gbr,5.0,sieve,,high,
gbr K=5 no correction,4000,300,0.16099533333333332,0.016028833333333325,0.016028833333333325,0.01894291612211772,0.01894291612211772,0.024790350051313654,0.01787828616741039,0.9437979903493176,0.8566666666666667,-0.005385617579068355,0.8965531250166272,419.5,,,gbr,5.0,sieve,,,False
