variant,n,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_dev,W_cover,V_dev,V_cover
dense_K200,1000,0,50,1.0,1.3846513733325851,0.6896860732780585,0.5521240234375,0.05598007937432408,0.01474912573955024,61,0.044910499052077744,0.3318647127677097,0.0,-0.0176239013671875,1.0
screen_full,1000,0,10,1.0,0.597950940340305,0.3447067881197623,0.50634765625,0.04485603998289993,0.007739391949684326,78,0.05682319042110231,-0.013114572390586554,1.0,-0.0634002685546875,1.0
screen_split,1000,0,8,1.0,0.6571355248499036,0.4118832492035831,0.487548828125,0.06353455548159946,0.009761485546266874,62,0.05372755180287611,0.05406188869323425,1.0,-0.0821990966796875,1.0
oracle,1000,0,2,1.0,0.26253478052257956,0.34615622955790004,0.5782470703125,0.04583961502135331,0.006888982420371784,54,0.05443618429198269,-0.01166513095244881,1.0,0.0084991455078125,1.0
dense_K200,1000,1,50,1.0,1.4293544505407865,0.750385725785638,0.5654296875,0.05298822668912082,0.015368860817180975,44,0.03167073099187814,0.39256436527528915,0.0,-0.0043182373046875,1.0
screen_full,1000,1,10,1.0,0.5829684573944494,0.42251380256595916,0.5491943359375,0.05015826771516224,0.009219133905223501,62,0.042123350292137235,0.06469244205561031,1.0,-0.0205535888671875,1.0
screen_split,1000,1,8,1.0,0.934089905854893,0.5802320245650193,0.5546875,0.07797151641705437,0.012399264610522178,77,0.06292249166554245,0.22241066405467047,0.0,-0.0150604248046875,1.0
oracle,1000,1,2,1.0,0.36800599585145444,0.34432739229622106,0.522216796875,0.047044085274114716,0.008081767279867605,65,0.05938438040138292,-0.013493968214127794,1.0,-0.0475311279296875,1.0
dense_K200,1000,2,50,1.0,1.5516744017579063,0.766475594696371,0.5452880859375,0.05426651053794722,0.01646418043229318,68,0.038894956049548984,0.4086542341860222,0.0,-0.0244598388671875,1.0
screen_full,1000,2,10,1.0,0.5846446145629901,0.5020297904277213,0.6077880859375,0.05472662538994482,0.008660475616872441,79,0.05327648415249398,0.14420842991737248,0.0,0.0380401611328125,1.0
screen_split,1000,2,8,1.0,0.7576286331597996,0.5443781270182613,0.6318359375,0.07479523793828323,0.009206455615598077,65,0.06395898951531469,0.18655676650791242,0.0,0.0620880126953125,1.0
oracle,1000,2,2,1.0,0.3264151421335549,0.394158820859709,0.5736083984375,0.046783897939750706,0.006903407568464633,42,0.03971075145640224,0.03633746034936014,1.0,0.0038604736328125,1.0
dense_K200,1000,3,50,1.0,1.3026440639916006,0.662899720448163,0.5545654296875,0.055732785491323836,0.013869011762303016,79,0.04911089159876448,0.3050783599378142,0.0,-0.0151824951171875,1.0
screen_full,1000,3,10,1.0,0.6133032249031712,0.431951020694588,0.5572509765625,0.05243388646719989,0.008648205016562872,66,0.0467863655429843,0.07412966018423917,1.0,-0.0124969482421875,1.0
screen_split,1000,3,10,1.0,0.8803272194054718,0.3479613433446472,0.4775390625,0.05844867460946664,0.00977515640563004,75,0.05398683263786764,-0.009860017165701673,1.0,-0.0922088623046875,1.0
oracle,1000,3,2,1.0,0.3644331443823315,0.36616910991251617,0.5224609375,0.04436391009938904,0.007023509744050432,54,0.05493272184487246,0.008347749402167315,1.0,-0.0472869873046875,1.0
dense_K200,1000,4,50,1.0,1.4124558260511804,0.6896353402905818,0.541748046875,0.0537207411376409,0.01515685368176833,71,0.041185160600635845,0.33181397978023297,0.0,-0.0279998779296875,1.0
screen_full,1000,4,9,1.0,0.7525853964066032,0.44218693846731727,0.5538330078125,0.050200095223634264,0.008919985068290639,88,0.07126889322327114,0.08436557795696842,1.0,-0.0159149169921875,1.0
screen_split,1000,4,9,1.0,0.809320093670316,0.41535767050925004,0.4700927734375,0.0700711589811344,0.01019124690296461,53,0.04344878111534388,0.05753630999890119,1.0,-0.0996551513671875,0.0
oracle,1000,4,2,1.0,0.3469843509508582,0.35885709468567484,0.515869140625,0.04268589699084394,0.007165946795368832,51,0.049244664942391485,0.0010357341753259863,1.0,-0.0538787841796875,1.0
dense_K200,1000,5,50,1.0,1.3427348793187988,0.6954338339715748,0.5469970703125,0.05380581448780074,0.015232476614055855,73,0.04620353851232426,0.3376124734612259,0.0,-0.0227508544921875,1.0
screen_full,1000,5,10,1.0,0.562182532613457,0.42944508631392075,0.5462646484375,0.04692358241607789,0.009219918154544027,71,0.045036373882272815,0.0716237258035719,1.0,-0.0234832763671875,1.0
screen_split,1000,5,10,1.0,0.6161009585785885,0.404812513451071,0.5150146484375,0.06163737865383531,0.009074812068504069,76,0.062301275980338286,0.04699115294072215,1.0,-0.0547332763671875,1.0
oracle,1000,5,2,1.0,0.4165296484599502,0.35218887479165323,0.5633544921875,0.04606821329915219,0.008209643562861921,73,0.05926639811425896,-0.005632485718695623,1.0,-0.0063934326171875,1.0
dense_K200,1000,6,50,1.0,1.2018653047065682,0.54467420035728,0.5157470703125,0.05037528808878099,0.01290940041028199,46,0.03626142802346738,0.18685283984693113,0.0,-0.0540008544921875,1.0
screen_full,1000,6,10,1.0,0.5496271162270223,0.3347088482582358,0.533203125,0.0469586190921689,0.007442286619677484,55,0.05000478114832192,-0.023112512252113027,1.0,-0.0365447998046875,1.0
screen_split,1000,6,4,1.0,0.7439014873156878,0.48485914233053007,0.5482177734375,0.05632873757574546,0.010081916993974479,63,0.0489807572028689,0.12703778182018122,0.0,-0.0215301513671875,1.0
oracle,1000,6,2,1.0,0.3817823705766658,0.32271881320495716,0.581787109375,0.04739324796759818,0.0076657135134056455,78,0.06749413196646284,-0.035102547305391696,1.0,0.0120391845703125,1.0
dense_K200,1000,7,50,1.0,1.3335543016419813,0.6431853457060338,0.515869140625,0.05132939950944144,0.014877853373800836,65,0.03633421483201815,0.28536398519568495,0.0,-0.0538787841796875,1.0
screen_full,1000,7,7,1.0,0.49363508157780983,0.4022596808496991,0.5587158203125,0.04884954548083243,0.008642869103090823,65,0.04611707191792746,0.044438320339350246,1.0,-0.0110321044921875,1.0
screen_split,1000,7,4,1.0,1.0978564255422911,0.5085025379704708,0.5133056640625,0.0560194204817611,0.012843024419092946,58,0.03263460290734418,0.150681177460122,0.0,-0.0564422607421875,1.0
oracle,1000,7,2,1.0,0.390649428231899,0.4229116342537247,0.55908203125,0.046356460058319,0.008706145899282017,66,0.06470016738518644,0.06509027374337584,1.0,-0.0106658935546875,1.0
dense_K200,1000,8,50,1.0,1.3790704184748235,0.6618953829460519,0.5474853515625,0.05376203730180746,0.014452753361210404,64,0.040598682394280695,0.30407402243570303,0.0,-0.0222625732421875,1.0
screen_full,1000,8,4,1.0,0.4937679621683547,0.31941078056470795,0.5299072265625,0.04353318055068066,0.006793181673705147,58,0.05458205171134698,-0.0384105799456409,1.0,-0.0398406982421875,1.0
screen_split,1000,8,3,1.0,0.7861600256209648,0.4269619780176613,0.610595703125,0.06655524922699464,0.009472349927214532,67,0.06868295006671991,0.06914061750731243,1.0,0.0408477783203125,1.0
oracle,1000,8,2,1.0,0.36090331773412637,0.2981247512260894,0.5655517578125,0.04723760462698157,0.005872236106322505,50,0.049397031369494866,-0.05969660928425946,1.0,-0.0041961669921875,1.0
dense_K200,1000,9,50,1.0,1.4271149328160022,0.6863256133029969,0.537109375,0.056078450695455265,0.015491339567641307,53,0.034283172202561725,0.32850425279264805,0.0,-0.0326385498046875,1.0
screen_full,1000,9,8,1.0,0.6276314782598609,0.410323243678058,0.5562744140625,0.05061591150166315,0.008378076613795934,64,0.05037302022310161,0.05250188316770915,1.0,-0.0134735107421875,1.0
screen_split,1000,9,10,1.0,0.7469738304899705,0.5332614715774572,0.62353515625,0.07982903989853707,0.00967562897624534,56,0.0589996622223638,0.17544011106710833,0.0,0.0537872314453125,1.0
oracle,1000,9,2,1.0,0.40894959939169157,0.332843757325604,0.53271484375,0.04452133817797687,0.006669058739591524,77,0.08214101530104115,-0.024977603184744845,1.0,-0.0370330810546875,1.0
dense_K200,1000,10,50,1.0,1.3672808023306788,0.7777166294216108,0.5994873046875,0.056216974718889416,0.014588498084388606,74,0.04429651181785317,0.41989526891126194,0.0,0.0297393798828125,1.0
screen_full,1000,10,10,1.0,0.4954298889765166,0.43900272083486575,0.610107421875,0.05342576791738951,0.007457607313516222,72,0.06217564203429894,0.0811813603245169,1.0,0.0403594970703125,1.0
screen_split,1000,10,6,1.0,0.8005187023433149,0.47569704226525256,0.6241455078125,0.0767869930144175,0.009161275117585934,68,0.06304374638434607,0.1178756817549037,1.0,0.0543975830078125,1.0
oracle,1000,10,2,1.0,0.30251671503325744,0.3375589048007412,0.56982421875,0.04659157574322463,0.0063583771889272975,47,0.0452624646247247,-0.020262455709607663,1.0,7.62939453125e-05,1.0
dense_K200,1000,11,50,1.0,1.5060300916082567,0.7382919445638583,0.545166015625,0.05622770724577356,0.016381969389742422,67,0.03559676394864668,0.3804705840535094,0.0,-0.0245819091796875,1.0
