dgp,sobol,iota,V_sd,V_se,se_over_sd,V_cover,n_band,draws
dense,plain,0.005,0.01823419793050715,0.049094827965488204,2.692458870557117,1.0,31.641666666666666,120
dense,plain,0.01,0.01823419793050715,0.03736818626990637,2.0493463113826715,1.0,63.041666666666664,120
dense,plain,0.02,0.01823419793050715,0.02952078288414908,1.618978964507051,1.0,126.26666666666667,120
dense,plain,0.05,0.01823419793050715,0.023782707262379615,1.3042913844095878,0.9916666666666667,317.43333333333334,120
dense,scrambled,0.01,0.018100240295040374,0.03788219311106818,2.0929110604928396,1.0,64.875,120
sparse,plain,0.005,0.01902689302840474,0.04653562700692317,2.4457817120983116,1.0,31.225,120
sparse,plain,0.01,0.01902689302840474,0.035004285665852376,1.8397268336767025,1.0,61.458333333333336,120
sparse,plain,0.02,0.01902689302840474,0.027613961934373397,1.4513121975904975,0.9666666666666667,122.08333333333333,120
sparse,plain,0.05,0.01902689302840474,0.022136525975409774,1.1634335643955505,0.8583333333333333,306.3,120
sparse,scrambled,0.01,0.019434492051434576,0.034772979590175085,1.7892404647441393,1.0,61.358333333333334,120
