p,n,K,rep,W_true,V_true,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,V_loo,W_loo,V_hat_dev,V_hat_cover,V_loo_dev,V_loo_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover,V_sqerr_plug,V_sqerr_loo
1.6,1000,80,0,0.22573558700716836,0.5,0.3436982897227554,0.30459707104528966,0.535400390625,0.042421481342517234,0.005987846727638583,115,0.13292503034128925,0.5422342154599549,0.25986953153460585,0.035400390625,1.0,0.04223421545995487,1.0,0.0788614840381213,1.0,0.03413394452743748,1.0,0.0012531876564025879,0.001783728955517891
1.6,1000,80,1,0.22573558700716836,0.5,0.34673581224554556,0.26451223198282775,0.4732666015625,0.03983067748186976,0.005358576931774664,56,0.05609732118806955,0.4489551032763274,0.23385370228908395,-0.0267333984375,1.0,-0.05104489672367257,1.0,0.038776644975659386,1.0,0.008118115281915583,1.0,0.0007146745920181274,0.002605581481530399
1.6,1000,80,2,0.22573558700716836,0.5,0.32850904013818916,0.23369200981513918,0.5333251953125,0.04573728359395133,0.005313086429818648,86,0.0994382477192049,0.6570203175463659,0.17225091070996304,0.0333251953125,1.0,0.15702031754636592,1.0,0.00795642280797082,1.0,-0.053484676297205325,1.0,0.001110568642616272,0.024655380122361587
1.6,1000,80,3,0.22573558700716836,0.5,0.36433150195464037,0.21729273294250767,0.56005859375,0.04298636374682346,0.004471024444898803,135,0.16088132473237543,0.867153189953555,0.14612163142404883,0.06005859375,1.0,0.36715318995355495,0.0,-0.008442854064660693,1.0,-0.07961395558311954,1.0,0.003607034683227539,0.1348014648930712
1.6,1000,80,4,0.22573558700716836,0.5,0.3771815646056348,0.3087707385735764,0.5262451171875,0.045554447902562537,0.006191181636626977,61,0.0563841456635182,0.43177945851751454,0.2777283783752284,0.0262451171875,1.0,-0.06822054148248546,1.0,0.08303515156640803,1.0,0.05199279136806004,1.0,0.0006888061761856079,0.00465404228016352
1.6,1000,80,5,0.22573558700716836,0.5,0.2952579087281225,0.26410136682126883,0.50537109375,0.04513029717881217,0.005397629758426376,66,0.09102946906168069,0.45157082056453623,0.2040681999122517,0.00537109375,1.0,-0.048429179435463765,1.0,0.03836577981410047,1.0,-0.021667387094916668,1.0,2.8848648071289062e-05,0.0023453854207923465
1.6,1000,80,6,0.22573558700716836,0.5,0.39136829882373,0.24542622367508038,0.5164794921875,0.04281604260874091,0.005437911689753843,57,0.05851145781903148,0.5804987031949184,0.21026545590806392,0.0164794921875,1.0,0.08049870319491836,1.0,0.019690636667912015,1.0,-0.015470131099104445,1.0,0.00027157366275787354,0.00648004121606356
1.6,1000,80,7,0.22573558700716836,0.5,0.3321383837374632,0.29590270770886096,0.5838623046875,0.04366938100761184,0.005398734659443784,87,0.11400685708906544,0.7872535428245848,0.2461723815072679,0.0838623046875,1.0,0.2872535428245848,0.0,0.07016712070169259,1.0,0.020436794500099525,1.0,0.0070328861474990845,0.08251459786527558
1.6,1000,80,8,0.22573558700716836,0.5,0.31554652108170267,0.32090367267600006,0.5921630859375,0.050302522506689054,0.005071152587492434,59,0.07767337263528136,0.5947946694357858,0.27288440684873794,0.0921630859375,1.0,0.09479466943578585,1.0,0.0951680856688317,1.0,0.04714881984156957,1.0,0.00849403440952301,0.008986029353439912
1.6,1000,80,9,0.22573558700716836,0.5,0.3120833407773052,0.3108025322701998,0.4666748046875,0.039500827965216964,0.006082460797857477,55,0.05670258203288991,0.46112187818996425,0.2767580477225779,-0.0333251953125,1.0,-0.03887812181003575,1.0,0.08506694526303146,0.0,0.05102246071540953,1.0,0.001110568642616272,0.0015115083554759774
1.6,1000,80,10,0.22573558700716836,0.5,0.2894172664070964,0.20505712782619318,0.54345703125,0.043497768725211,0.004539388632347995,58,0.08395070243292156,0.5470966638767517,0.1699913536015899,0.04345703125,1.0,0.04709666387675171,1.0,-0.02067845918097519,1.0,-0.055744233405578464,1.0,0.0018885135650634766,0.0022180957483197293
1.6,1000,80,11,0.22573558700716836,0.5,0.2447240287896076,0.22864656715836462,0.53857421875,0.041303989081231875,0.004829058986614627,148,0.23212525781153362,0.9126511774584405,0.14771096061638112,0.03857421875,1.0,0.4126511774584405,1.0,0.0029109801511962574,1.0,-0.07802462639078725,1.0,0.0014879703521728516,0.17028099425783735
1.6,1000,80,12,0.22573558700716836,0.5,0.3138229076818147,0.19994428747509985,0.40771484375,0.0389906255359667,0.004865984651413479,41,0.06852138217487466,0.4037489706258349,0.15792173522574623,-0.09228515625,1.0,-0.09625102937416508,1.0,-0.025791299532068518,1.0,-0.06781385178142213,1.0,0.008516550064086914,0.009264260655586389
1.6,1000,80,13,0.22573558700716836,0.5,0.2731586291743864,0.24795189357541292,0.4093017578125,0.03898306118651221,0.005591896101154404,46,0.056192962325569105,0.414521010092422,0.21369560728686932,-0.0906982421875,1.0,-0.08547898990757802,1.0,0.022216306568244554,1.0,-0.012039979720299049,1.0,0.008226171135902405,0.007306657715619825
1.6,1000,80,14,0.22573558700716836,0.5,0.38242260573536335,0.23201056228865397,0.471435546875,0.03753062988512695,0.0051131974409518435,97,0.13660374137743572,0.29846222109485177,0.17082686622680063,-0.028564453125,1.0,-0.20153777890514823,1.0,0.006274975281485601,1.0,-0.05490872078036774,1.0,0.0008159279823303223,0.04061747632602041
1.6,1000,80,15,0.22573558700716836,0.5,0.28877123091446194,0.2693728777897404,0.5946044921875,0.04926990064914205,0.004845033448510744,39,0.04443563625567059,0.7060079443059423,0.23646284380308186,0.0946044921875,0.0,0.20600794430594227,0.0,0.04363729078257203,1.0,0.010727256795913492,1.0,0.008950009942054749,0.04243927311716021
1.6,1000,80,16,0.22573558700716836,0.5,0.3767511598973239,0.2940660096906579,0.484375,0.04029727367239606,0.00604736126615586,53,0.05018776860999402,0.37961218673549924,0.2721493041944916,-0.015625,1.0,-0.12038781326450076,0.0,0.06833042268348952,1.0,0.04641371718732326,1.0,0.000244140625,0.014493225582608306
1.6,1000,80,17,0.22573558700716836,0.5,0.36355564202534885,0.3563449181449359,0.595947265625,0.04678302296589789,0.006179209678076069,97,0.08920582651581264,0.646060425881645,0.31061321301093725,0.095947265625,1.0,0.14606042588164503,1.0,0.13060933113776754,0.0,0.08487762600376889,1.0,0.009205877780914307,0.021333648008727522
1.6,1000,80,18,0.22573558700716836,0.5,0.3603613848138304,0.3507533687494804,0.5120849609375,0.042563721873461725,0.005930044880910916,49,0.05049891044482984,0.48592414807593937,0.3211635718637625,0.0120849609375,1.0,-0.014075851924060634,1.0,0.125017781742312,0.0,0.09542798485659412,0.0,0.00014604628086090088,0.00019812960738808144
1.6,1000,80,19,0.22573558700716836,0.5,0.32122572270014077,0.2542279860115346,0.4925537109375,0.04334275967522906,0.005750234607568834,57,0.06045665645553713,0.4598332524669413,0.2275729475694967,-0.0074462890625,1.0,-0.04016674753305871,1.0,0.02849239900436626,1.0,0.0018373605623283329,1.0,5.544722080230713e-05,0.001613367607384478
1.6,1000,80,20,0.22573558700716836,0.5,0.29887596502377584,0.2783126653220927,0.561767578125,0.04328712718589259,0.0051161727112350106,82,0.11106948019448191,0.32518831668412806,0.2192184865750341,0.061767578125,1.0,-0.17481168331587194,1.0,0.052577078314924336,1.0,-0.006517100432134271,1.0,0.0038152337074279785,0.030559124623728697
