variant,tau_scale,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,W_true,V_true,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
screen_full,1.0,0,5,1.0,0.24820173623004183,0.14064561070232146,0.557861328125,0.024077046268371982,0.0030744681586485044,64,0.0627632745383486,0.1017465399345683,0.11927378683678294,0.5697479248046875,-0.0118865966796875,1.0,0.021371823865538514,1.0,-0.017527246902214647,1.0
screen_split,1.0,0,10,1.0,0.43967098727242226,0.21081563404136616,0.5382080078125,0.03426017049424585,0.0048810259164213015,67,0.060618376858473884,0.15029096159803226,0.11927378683678294,0.5697479248046875,-0.0315399169921875,1.0,0.09154184720458322,0.0,0.031017174761249322,1.0
screen_full,1.0,1,6,1.0,0.2496774626537023,0.20442805198615238,0.6199951171875,0.02621965894250154,0.0036260874889169742,53,0.049707175123853566,0.17368969511104093,0.11927378683678294,0.5697479248046875,0.0502471923828125,1.0,0.08515426514936944,0.0,0.05441590827425799,0.0
screen_split,1.0,1,10,1.0,0.4202813048906478,0.23538622153103742,0.5662841796875,0.034994347176103044,0.004828777399696262,73,0.06193465237932948,0.17913141335984994,0.11927378683678294,0.5697479248046875,-0.0034637451171875,1.0,0.11611243469425447,0.0,0.059857626523067003,1.0
screen_full,1.0,2,10,1.0,0.30531447727031485,0.20703728334097263,0.6173095703125,0.025611738307042862,0.0036362768054701996,64,0.054067650205831166,0.17470651013285451,0.11927378683678294,0.5697479248046875,0.0475616455078125,1.0,0.08776349650418969,0.0,0.05543272329607157,0.0
screen_split,1.0,2,10,1.0,0.3924335479935479,0.2020210494703527,0.5692138671875,0.0361581127893024,0.004098763261570668,57,0.05655542677171638,0.13854659166621303,0.11927378683678294,0.5697479248046875,-0.0005340576171875,1.0,0.08274726263356977,0.0,0.019272804829430085,1.0
screen_full,1.0,3,10,1.0,0.3139786566673762,0.15523950935771025,0.497314453125,0.0225953168049582,0.003634719223091212,55,0.04402303563799725,0.12249149690818537,0.11927378683678294,0.5697479248046875,-0.0724334716796875,1.0,0.03596572252092731,1.0,0.0032177100714024243,1.0
screen_split,1.0,3,9,1.0,0.3818858902931467,0.1572678304745763,0.4541015625,0.029845492464489417,0.004405050014595633,54,0.06248946800228106,0.09916108778186439,0.11927378683678294,0.5697479248046875,-0.1156463623046875,1.0,0.03799404363779335,1.0,-0.020112699054918554,1.0
screen_full,1.0,4,9,1.0,0.24363812804794915,0.1633658329523735,0.6171875,0.025774380810180398,0.0029833727244137826,53,0.05206892281724646,0.12509951218835064,0.11927378683678294,0.5697479248046875,0.0474395751953125,1.0,0.04409204611559056,1.0,0.0058257253515676954,1.0
screen_split,1.0,4,10,1.0,0.38424029488720607,0.21824704417730917,0.6246337890625,0.03632687732275811,0.003933336530023864,64,0.06915032537697423,0.15174081504175024,0.11927378683678294,0.5697479248046875,0.0548858642578125,1.0,0.09897325734052623,0.0,0.0324670282049673,1.0
