dim,n,K,rep,n_t,n_c,W_true,V_true,W_hat,W_se,V_hat,V_se,eps_band,n_band,share_pos,V_loo,W_dev,V_dev,n_varV,W_cover,V_cover
3,500,25,0,247,253,0.37796080233885754,0.573486328125,0.44908666596291197,0.06503226321381914,0.60791015625,0.08223608590331008,0.009759252845376912,46,0.60791015625,,0.07112586362405443,0.034423828125,3.3813869123482974,1.0,1.0
3,500,25,1,246,254,0.37796080233885754,0.573486328125,0.4889796288349395,0.07034518276545995,0.6533203125,0.06404297253517408,0.00887831638305819,27,0.6533203125,,0.11101882649608197,0.079833984375,2.05075116557053,1.0,1.0
3,500,25,2,248,252,0.37796080233885754,0.573486328125,0.32988545961416,0.06160275301007872,0.5,0.04300279799755515,0.008111492766975356,21,0.5,,-0.048075342724697545,-0.073486328125,0.9246203178092667,1.0,1.0
3,500,25,3,257,243,0.37796080233885754,0.573486328125,0.4326561511350361,0.06869927852403522,0.627685546875,0.07060558710314463,0.007660025914416074,27,0.627685546875,,0.054695348796178545,0.05419921875,2.4925744650898713,1.0,1.0
3,500,25,4,268,232,0.37796080233885754,0.573486328125,0.3711870607803638,0.060161413349295034,0.550048828125,0.07113719616265989,0.008793698784257346,36,0.550048828125,,-0.006773741558493751,-0.0234375,2.5302503389423765,1.0,1.0
3,500,25,5,255,245,0.37796080233885754,0.573486328125,0.5452420225955628,0.07201722325969294,0.654541015625,0.07199827531273985,0.008184803415046526,33,0.654541015625,,0.16728122025670522,0.0810546875,2.5918758240045423,0.0,1.0
3,500,25,6,239,261,0.37796080233885754,0.573486328125,0.42559883270485926,0.06437492602258162,0.565673828125,0.07686613781154052,0.009723271727069653,51,0.565673828125,,0.04763803036600173,-0.0078125,2.954201571031369,1.0,1.0
3,500,25,7,260,240,0.37796080233885754,0.573486328125,0.4097547313031547,0.057102643712895494,0.489501953125,0.08743101765487725,0.009964575903484115,47,0.489501953125,,0.03179392896429717,-0.083984375,3.822091424083729,1.0,1.0
3,500,25,8,244,256,0.37796080233885754,0.573486328125,0.41613754916684775,0.07170687669894656,0.59521484375,0.051111505553297416,0.009561914727032526,28,0.59521484375,,0.038176746827990216,0.021728515625,1.3061929999623763,1.0,1.0
3,500,25,9,249,251,0.37796080233885754,0.573486328125,0.45735523669686007,0.05946542576600061,0.508544921875,0.05540227538835034,0.010388526815669142,37,0.508544921875,,0.07939443435800253,-0.06494140625,1.5347060591033048,1.0,1.0
3,500,25,10,275,225,0.37796080233885754,0.573486328125,0.32931949316076203,0.05966198174496771,0.5595703125,0.0635109977674327,0.007529465324672174,27,0.5595703125,,-0.048641309178095504,-0.013916015625,2.0168234187074208,1.0,1.0
3,500,25,11,253,247,0.37796080233885754,0.573486328125,0.5351503843175642,0.06994497714286388,0.6240234375,0.07360539777785392,0.009106862179163521,39,0.6240234375,,0.1571895819787067,0.050537109375,2.7088772910180516,0.0,1.0
3,500,25,12,247,253,0.37796080233885754,0.573486328125,0.4638399331646665,0.06889804127875916,0.591552734375,0.08359154245118199,0.009073025861365136,48,0.591552734375,,0.08587913082580895,0.01806640625,3.49377298468388,1.0,1.0
3,500,25,13,239,261,0.37796080233885754,0.573486328125,0.41228250660153576,0.06173536483132126,0.531982421875,0.07249862047660133,0.008553509448976407,35,0.531982421875,,0.03432170426267822,-0.04150390625,2.6280249855051383,1.0,1.0
3,500,25,14,252,248,0.37796080233885754,0.573486328125,0.4001360985888994,0.0697729243855371,0.585693359375,0.06043183761185502,0.007369795776616173,26,0.585693359375,,0.022175296250041887,0.01220703125,1.8260034985728075,1.0,1.0
3,500,25,15,237,263,0.37796080233885754,0.573486328125,0.45805201601887197,0.07905942464108551,0.5869140625,0.09663529576165517,0.008898799145271802,47,0.5869140625,,0.08009121368001443,0.013427734375,4.669190193471284,1.0,1.0
3,500,25,16,257,243,0.37796080233885754,0.573486328125,0.43245038998972796,0.06818265274909217,0.54052734375,0.05284060509071777,0.00923873810901485,21,0.54052734375,,0.05448958765087042,-0.032958984375,1.3960647731765945,1.0,1.0
3,500,25,17,245,255,0.37796080233885754,0.573486328125,0.5132770272638241,0.059594772423757346,0.5087890625,0.04945339266305088,0.011303749951688964,37,0.5087890625,,0.13531622492496653,-0.064697265625,1.2228190229429472,0.0,1.0
3,500,25,18,268,232,0.37796080233885754,0.573486328125,0.3508249346561627,0.06119005575840906,0.64453125,0.053509450408065505,0.00840067148516355,27,0.64453125,,-0.027135867682694825,0.071044921875,1.4316306414866107,1.0,1.0
3,500,25,19,241,259,0.37796080233885754,0.573486328125,0.4590674148877809,0.06980345752047384,0.682861328125,0.04266635516993823,0.007752566735598208,19,0.682861328125,,0.08110661254892337,0.109375,0.9102089317436575,1.0,0.0
3,500,25,20,254,246,0.37796080233885754,0.573486328125,0.44957448646574893,0.06753107130234268,0.601806640625,0.10382014645952492,0.009514664121599507,54,0.601806640625,,0.0716136841268914,0.0283203125,5.389311405438603,1.0,1.0
3,500,25,21,250,250,0.37796080233885754,0.573486328125,0.3663507337066517,0.06783462121929722,0.523681640625,0.05379031695225125,0.007969051509851319,25,0.523681640625,,-0.011610068632205817,-0.0498046875,1.4466990989118238,1.0,1.0
3,500,25,22,253,247,0.37796080233885754,0.573486328125,0.418059534460997,0.06693177458702783,0.513427734375,0.052753426754864746,0.009269743988611754,24,0.513427734375,,0.040098732122139435,-0.06005859375,1.3914620171904397,1.0,1.0
3,500,25,23,267,233,0.37796080233885754,0.573486328125,0.5880688997396939,0.0859179649107672,0.68017578125,0.08529461328222596,0.010621634717709702,42,0.68017578125,,0.21010809740083636,0.106689453125,3.637585527482238,0.0,1.0
