label,dgp,dim,feat_q,gamma,n,K,h_rmse,V_true,V_bias,V_sd,V_se_mean,V_cover,n_varV,n_band,W_bias,W_cover,draws
A_dense_d10_n1000_K50,dense,10,-1,3.0,1000,50,0.6316813295492267,0.5839996337890625,0.006326904296875,0.038429721537978516,0.04784685075007333,1.0,2.3432411017089008,62.57,0.0928036332153213,0.605,200
A_dense_d10_n1000_K200,dense,10,-1,3.0,1000,200,1.4451873588873498,0.5839996337890625,-0.0430157470703125,0.025984794380954385,0.03848438871199783,0.905,1.5030831949761594,70.47,0.32453392740757464,0.0,200
A_dense_d10_n4000_K200,dense,10,-1,3.0,4000,200,0.5793542098743294,0.5839996337890625,0.0046588134765625,0.02156292531468665,0.034190859784961856,1.0,4.7285710258062394,64.475,0.07354630025974819,0.185,200
A_dense_d50_n1000_K50,dense,50,-1,3.0,1000,50,0.8714509981707781,0.58599853515625,0.06799072265625,0.04784313344787461,0.05973297087074335,0.845,3.650095920048035,60.01,0.18209043571232325,0.3,200
A_dense_d50_n4000_K200,dense,50,-1,3.0,4000,200,0.6359964435224204,0.58599853515625,0.002906494140625,0.01971262154472723,0.03753785448365647,1.0,5.700219991164955,62.925,0.09436086189280203,0.075,200
A_dense_d50_n4000_K400,dense,50,-1,3.0,4000,400,0.8881994739717556,0.58599853515625,-0.021279296875,0.0174044308523881,0.03831756239949863,1.0,5.927238724652458,65.51,0.17352426163912682,0.0,200
B_dense_d50_gamma1.5,dense,50,-1,1.5,4000,200,0.5995279160950089,0.58599853515625,-0.0067608642578125,0.020133739634989704,0.03601795458446219,1.0,5.242429208742782,63.58,0.08316896374040418,0.15,200
B_dense_d50_gamma6,dense,50,-1,6.0,4000,200,0.8935098770253953,0.58599853515625,0.07525390625,0.025085318131885512,0.045485190036137976,0.67,8.362412563530558,60.035,0.19289469985997554,0.0,200
C_sparse_d50_featdense,sparse,50,-1,3.0,4000,200,0.6060301353864387,0.5697479248046875,0.02205810546875,0.020136405189703045,0.03537325558085771,0.98,5.054147559441623,61.745,0.08833831579655907,0.14,200
C_sparse_d50_featq2,sparse,50,2,3.0,4000,200,0.5365133080954041,0.5697479248046875,0.002125244140625,0.020089767451914188,0.03232853969259677,0.995,4.228810088616456,60.865,0.06759550356502234,0.24,200
C_sparse_d50_featq1,sparse,50,1,3.0,4000,200,0.44851328803801094,0.5697479248046875,0.0059661865234375,0.03047232519033644,0.029742091056324322,0.965,3.6032955999248486,58.155,0.05017921959403544,0.54,200
C_sparse_d50_featq2_K50,sparse,50,2,3.0,4000,50,0.6167537662494804,0.5697479248046875,0.17902099609375,0.12430501740226986,0.03599528713973408,0.23,5.535497048344913,44.965,0.14298750594488271,0.315,200
C_sparse_d50_oracle_K50,sparse,50,oracle2,3.0,4000,50,0.16183547582351387,0.5697479248046875,0.0029058837890625,0.02582802570002022,0.029516280281819962,0.945,3.8024326259062713,52.345,0.004027606649625435,0.95,200
A_dense_d50_n16000_K400,dense,50,-1,3.0,16000,400,0.43777637889114696,0.58599853515625,0.0109149169921875,0.011985632958245054,0.02695294501077367,0.995,11.706402953005993,61.81,0.04404452826260997,0.115,200
