expansion,K,p,spec,n,W_true,W_mean,bias,sd,replications,rfg_type,activation,n_features,alpha
tan2,4,4,tan2_K4_p4,1500,1.0,0.9977569392696135,-0.0022430607303864925,0.08716857812411118,1500,iid_sphere,exp,100,1e-05
tan2,4,4,tan2_K4_p4,3000,1.0,0.996848350174094,-0.003151649825905989,0.060399984930141266,1500,iid_sphere,exp,100,1e-05
tan2,4,4,tan2_K4_p4,6000,1.0,1.0013928063330098,0.001392806333009755,0.04327169640902642,1500,iid_sphere,exp,100,1e-05
sinh2,4,4,sinh2_K4_p4,1500,1.0,1.0047480643638527,0.0047480643638526665,0.0877166738426189,1500,iid_sphere,exp,100,1e-05
sinh2,4,4,sinh2_K4_p4,3000,1.0,1.0006354106435251,0.000635410643525125,0.06041161301673741,1500,iid_sphere,exp,100,1e-05
sinh2,4,4,sinh2_K4_p4,6000,1.0,1.0001369476395694,0.00013694763956939582,0.042034098909152294,1500,iid_sphere,exp,100,1e-05
rational,4,4,rational_K4_p4,1500,1.0,0.999700455086618,-0.0002995449133820216,0.0860391902964555,1500,iid_sphere,exp,100,1e-05
rational,4,4,rational_K4_p4,3000,1.0,1.0003444834693476,0.00034448346934756735,0.060969718023172484,1500,iid_sphere,exp,100,1e-05
rational,4,4,rational_K4_p4,6000,1.0,0.9987153808516341,-0.001284619148365862,0.04253805285187875,1500,iid_sphere,exp,100,1e-05
hyperbolic,4,4,hyperbolic_K4_p4,1500,0.6334245883429781,0.6335149857779689,9.039743499084096e-05,0.08561071935167877,1500,iid_sphere,exp,100,1e-05
hyperbolic,4,4,hyperbolic_K4_p4,3000,0.6334245883429781,0.6347967535200366,0.0013721651770585153,0.061347042888320207,1500,iid_sphere,exp,100,1e-05
hyperbolic,4,4,hyperbolic_K4_p4,6000,0.6334245883429781,0.6350950319947677,0.0016704436517895882,0.042308885352483436,1500,iid_sphere,exp,100,1e-05
exp_pm,4,4,exp_pm_K4_p4,1500,1.0829968813151771,1.0899127667737696,0.006915885458592452,0.08459890757224751,1500,iid_sphere,exp,100,1e-05
exp_pm,4,4,exp_pm_K4_p4,3000,1.0829968813151771,1.0871012917169862,0.004104410401809089,0.05944552699955711,1500,iid_sphere,exp,100,1e-05
exp_pm,4,4,exp_pm_K4_p4,6000,1.0829968813151771,1.084528282010814,0.001531400695636842,0.0421440084705465,1500,iid_sphere,exp,100,1e-05
tan2,7,7,tan2_K7_p7,1500,1.0,0.9966704059728623,-0.003329594027137728,0.09436600858638267,1500,iid_sphere,exp,100,1e-05
tan2,7,7,tan2_K7_p7,3000,1.0,0.9990693324907555,-0.0009306675092445316,0.06530082256690206,1500,iid_sphere,exp,100,1e-05
