spec,model,theorem,n,W_true,W_mean,bias,sd,replications,se,sd_se,coverage
Model1,Model1,Theorem 1,1500,0.38569899044513695,0.3990013876117281,0.013302397166591151,0.04619078046276592,2000,0.04659130238421266,0.0034395597300317733,0.939
Model1,Model1,Theorem 1,3000,0.38569899044513695,0.3918026771100826,0.006103686664945651,0.03342330103094601,2000,0.03287326261204312,0.0019222458139861451,0.941
Model1,Model1,Theorem 1,6000,0.38569899044513695,0.38895334363031053,0.0032543531851735863,0.023176876839960538,2000,0.023217079389876667,0.0010318114962642522,0.9475
Model2,Model2,Theorem 1,1500,0.23577592637836933,0.23828228221669578,0.0025063558383264517,0.04865948201705833,2000,0.04875444562834498,0.002805824807907625,0.9495
Model2,Model2,Theorem 1,3000,0.23577592637836933,0.23889327980567776,0.003117353427308428,0.03410853305350824,2000,0.03454737280077404,0.0013596448456277,0.9535
Model2,Model2,Theorem 1,6000,0.23577592637836933,0.23716467154703236,0.0013887451686630248,0.02436511573347762,2000,0.024429685324131107,0.0007037345167029006,0.9525
Model3,Model3,Theorem 1,1500,0.5001447265625,0.5025925533099261,0.002447826747426163,0.05772438726212733,2000,0.05807811159400906,0.002437518214507754,0.9565
Model3,Model3,Theorem 1,3000,0.5001447265625,0.5003660633833242,0.00022133682082425832,0.041292668801584234,2000,0.041341302188526045,0.0011798635786007439,0.9505
Model3,Model3,Theorem 1,6000,0.5001447265625,0.5009430876849245,0.0007983611224244846,0.028791746847882996,2000,0.029370466350075168,0.0005697770667342554,0.956
Model4,Model4,Theorem 1,1500,0.10325284179687498,0.12457649815560498,0.02132365635873,0.04685026815218562,2000,0.04866775420609881,0.008506035843848065,0.935
Model4,Model4,Theorem 1,3000,0.10325284179687498,0.11069859581052342,0.007445754013648442,0.03438864700472745,2000,0.03479486668845375,0.004811865942766785,0.938
Model4,Model4,Theorem 1,6000,0.10325284179687498,0.10797596007929969,0.004723118282424707,0.025643385767764204,2000,0.02515720013111645,0.0025071866976814645,0.936
Model5,Model5,Theorem 1,1500,0.049940449218749995,0.07901111187887935,0.029070662660129358,0.04221920463979511,2000,0.04298769840129572,0.011196584940807478,0.927
Model5,Model5,Theorem 1,3000,0.049940449218749995,0.06527997868862152,0.015339529469871528,0.03031826534137459,2000,0.03103577400552654,0.006635600431041911,0.9305
Model5,Model5,Theorem 1,6000,0.049940449218749995,0.0595843575898198,0.009643908371069806,0.02272509166073023,2000,0.022489643539019426,0.003726938767415556,0.9335
Model6,Model6,Theorem 1,1500,0.23152330322265624,0.2566326740385017,0.025109370815845466,0.055908143021126275,2000,0.055175420561968266,0.0057442401870986025,0.9265
Model6,Model6,Theorem 1,3000,0.23152330322265624,0.24320304047343688,0.011679737250780642,0.03875322758594432,2000,0.040096126993381345,0.002986512281232649,0.945
Model6,Model6,Theorem 1,6000,0.23152330322265624,0.23730918295594514,0.005785879733288896,0.028401503691194607,2000,0.02882518755825344,0.0015061084919976266,0.947
Model7,Model7,Theorem 1,1500,0.12498994140625,0.17350883842549197,0.048518897019241974,0.049153226504974994,2000,0.050364859379324216,0.008513956911325966,0.887
Model7,Model7,Theorem 1,3000,0.12498994140625,0.1469737836052051,0.021983842198955106,0.03451024224644782,2000,0.03494543689339862,0.004489348945445419,0.9205
Model7,Model7,Theorem 1,6000,0.12498994140625,0.13475928723983327,0.00976934583358327,0.023414397204795823,2000,0.02447216771700219,0.00230690751507507,0.945
