expansion,K,p,spec,n,rep,W_hat,W_true,rfg_type,activation,n_features,alpha
tan2,3,3,tan2_K3_p3,1500,0,0.9648344521926069,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,1,0.9812474953952453,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,2,0.9109809659915078,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,3,1.051846808848721,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,4,0.9181977381074152,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,5,1.1234350543118774,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,6,0.9931391465919327,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,7,0.9973978740377742,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,8,1.0428796089500638,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,9,1.0029208251176205,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,10,0.9741293278047881,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,11,1.0362764603581587,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,12,1.013314524413209,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,13,0.7889902219411322,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,14,0.9138670007573072,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,15,0.9625528417518636,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,16,1.0527847951328861,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,17,0.9383187799367493,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,18,1.0235420963065418,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,19,1.1013028500290025,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,20,0.9686751159300382,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,21,1.0427465280986914,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,22,0.9231316358944983,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,23,1.067060462805253,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,24,1.100043396706654,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,25,0.9728979580218873,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,26,0.8591296830531241,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,27,0.9097346092368291,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,28,1.1008592653235527,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,29,1.0019843292924646,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,30,0.9265303519611141,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,31,1.0866351151775628,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,32,0.9677720543318339,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,33,0.9843577239083541,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,34,0.9680209824453475,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,35,0.9315524017078102,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,36,0.9599583912997158,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,37,1.0277094144839216,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,38,0.9660828981414618,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,39,0.9949617591468118,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,40,0.9597268265502057,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,41,1.0997342383495194,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,42,0.996196381552908,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,43,1.1145362037062667,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,44,0.9666235688768173,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,45,1.1797408929791637,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,46,0.9034495727299401,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,47,0.9762042009662173,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,48,1.1380834098715393,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,49,0.9213903164037665,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,50,0.973095371905577,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,51,0.8480750991631254,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,52,1.1973738665700484,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,53,1.1005301237953797,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,54,0.9682000365429869,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,55,0.90400422060809,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,56,1.0413330611905534,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,57,0.9185831943174859,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,58,1.1399619415511824,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,59,0.9848247557256389,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,60,0.9771852652021,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,61,1.0477304082897811,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,62,1.064813118752077,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,63,1.043586104588489,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,64,1.0982461687001042,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,65,0.8601010682738572,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,66,1.0565573386310199,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,67,1.0313492924295917,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,68,0.9695001339415104,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,69,1.1746264896887375,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,70,1.1053027170103058,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,71,1.0850737496659342,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,72,0.9864347212312508,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,73,1.0735560206842707,1.0,iid_sphere,exp,100,0.001
tan2,3,3,tan2_K3_p3,1500,74,1.0047922807747212,1.0,iid_sphere,exp,100,0.001
